MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
4.835032146652045,22,7.784642374352572,3.1395633723514678,594,3.870703059672372,39.17441565863395,-123.17787820474736,3.9448804291517625
5.907351522313722,18,3.3863701141997624,1.4822673139141118,4714,3.065512034994598,34.6210665167686,-114.42818591735744,4.687814596902012
4.457109136503686,37,6.228049266318316,2.3344255193982275,9587,2.5703392564536864,34.656199741033255,-114.06393712386152,3.537426873469263
4.167189372100928,15,8.09698661638193,4.748900016888848,9520,4.299969311281538,34.714880295057625,-120.71535584783642,3.1619675809666745
6.251106653567751,46,6.528282889709234,2.7380649636208583,9641,2.4904420386638715,38.704197797542555,-117.34996791857199,5.118712009993593
4.33114506988937,40,3.5033544714412272,1.366992381924728,3746,1.1858209801004889,34.94177283913301,-117.82889300989433,2.6112518289328106
5.206334484102408,35,3.577629236626892,1.1372182108038655,840,1.5131476347935406,35.1036275503198,-122.74476943557111,3.16961768576391
4.9783565505090985,13,4.372561935030398,1.476351920868314,2522,1.7079509207091463,35.76618993890999,-120.42396185052453,3.7342932150097123
6.248523479213444,32,5.736861867279812,1.7763540198087238,2270,3.4765564361599557,41.80201326272676,-114.20321392802225,5.17293496239666
3.8512429260455527,42,5.838914041133578,2.4560735287788438,962,4.7715740813156176,36.600984069413755,-123.15942019411493,3.3286454469892646
7.243255514000086,4,3.592455168550461,1.838861637274526,7151,1.3680314625984042,35.77375355321657,-118.46064389509243,5.238142236036834
3.431899444150975,10,4.19086381232955,1.7304021565648722,5321,2.373956093468356,36.70022977644397,-118.20860218671598,3.9223943002112174
5.360555051484763,27,4.28277626952997,1.2473473460527185,7272,3.0712206358305667,39.19203504846846,-122.74098300987555,3.6755476568567342
5.07884027085499,19,5.228879787827661,2.506906551883904,2156,4.236405572536443,40.83690735299523,-118.87989446339111,3.2270667228411734
3.297512255158123,37,8.477043185936612,4.207888891165988,7021,2.3696499846781838,41.908018162483884,-114.86664801848642,2.7017366826128706
5.565201574267913,21,4.100219401564829,1.2060153074798718,835,3.472639857986915,36.86064228670114,-123.28560977634515,4.452295374842629
3.98186283945657,51,4.034563250296317,1.1832044169508602,7270,2.799928601269304,36.60143033976725,-122.5076985577959,2.8724744719753224
2.841007377820608,16,3.8002895572842337,1.9304270617427441,8168,5.085729306332212,35.30311583593356,-121.81589989698507,1.9475465859519323
5.888620419637689,19,6.453316856863347,2.091826633397988,2685,3.115632230106623,39.790926146281144,-116.6147143616932,4.883855544763598
2.4098906999809167,1,5.437987605467347,2.198466684806652,3420,3.284551018516262,38.55586167998277,-118.43886011229071,2.9887770020636593
3.0650116548298603,13,4.155660177745062,1.6069911049980878,4467,3.0674055674117318,35.633645135727974,-119.21275621320031,2.5204694793531384
4.434146025471787,13,4.955806624332502,1.9078121579147294,5878,2.6682507458451035,37.185416815963016,-116.18332579253415,5.952044933804839
6.229410554598684,39,4.312734548563448,1.2525844781322104,5382,3.759896327121647,34.05820773285164,-114.22819497822951,4.753584732186252
